"Date","Time","Open","High","Low","Close","Vol","OI"
12/29/2011,15:00,5.72,5.87,5.71,5.75,2440750,0
12/30/2011,15:00,5.70,5.80,5.65,5.71,1699300,0
01/03/2012,15:00,5.79,5.90,5.53,5.62,4640260,0
01/04/2012,15:00,5.63,5.73,5.50,5.54,3150180,0
01/05/2012,15:00,5.55,5.59,5.37,5.42,5027160,0
01/06/2012,15:00,5.44,5.56,5.28,5.38,4931435,0
01/09/2012,15:00,5.40,5.50,5.22,5.45,4484755,0
01/10/2012,15:00,5.49,5.55,5.45,5.52,3358660,0
01/11/2012,15:00,5.52,5.68,5.46,5.65,3361195,0
01/12/2012,15:00,5.70,5.72,5.56,5.65,3646500,0
01/13/2012,15:00,5.68,5.70,4.53,4.56,27532195,0
01/17/2012,15:00,5.32,5.47,5.28,5.32,23261930,0
01/18/2012,15:00,5.34,5.38,5.25,5.36,6300915,0
01/19/2012,15:00,5.44,5.55,5.32,5.35,6231110,0
01/20/2012,15:00,5.38,5.40,5.28,5.32,3311445,0
01/23/2012,15:00,5.36,5.44,5.32,5.35,2972665,0
01/24/2012,15:00,5.33,5.54,5.29,5.48,4289570,0
01/25/2012,15:00,5.45,5.60,5.41,5.59,3055560,0
01/26/2012,15:00,5.61,5.92,5.60,5.79,6355140,0
01/27/2012,15:00,5.70,5.94,5.70,5.87,3741805,0
01/30/2012,15:00,5.90,5.92,5.71,5.91,3644895,0
01/31/2012,15:00,5.98,6.00,5.77,5.81,4783565,0
02/01/2012,15:00,5.80,5.94,5.80,5.92,2615845,0
02/02/2012,15:00,5.94,6.18,5.92,6.05,4028050,0
02/03/2012,15:00,6.08,6.27,6.05,6.23,3822090,0
02/06/2012,15:00,6.22,6.38,6.21,6.36,3260805,0
02/07/2012,15:00,6.36,6.36,6.16,6.32,5107515,0
02/08/2012,15:00,6.32,6.40,6.26,6.39,3118130,0
02/09/2012,15:00,6.40,6.58,6.29,6.52,6389840,0
02/10/2012,15:00,6.45,6.45,5.97,6.22,9370695,0
02/13/2012,15:00,6.31,6.41,6.18,6.30,5789290,0
02/14/2012,15:00,6.35,6.76,6.28,6.63,9056825,0
02/15/2012,15:00,6.62,6.88,6.45,6.72,13822380,0
02/16/2012,15:00,6.70,6.90,6.51,6.84,11098180,0
02/17/2012,15:00,6.80,6.99,6.70,6.99,6883225,0
02/21/2012,15:00,6.97,6.97,6.76,6.90,5678940,0
02/22/2012,15:00,6.90,6.94,6.50,6.84,8274925,0
02/23/2012,15:00,6.80,6.99,6.71,6.91,4101725,0
02/24/2012,15:00,6.85,6.90,6.65,6.75,4799330,0
02/27/2012,15:00,6.71,6.80,6.60,6.72,3029765,0
02/28/2012,15:00,6.73,6.89,6.63,6.76,3060915,0
02/29/2012,15:00,6.76,6.82,6.63,6.68,2678420,0
03/01/2012,15:00,6.70,6.90,6.66,6.88,3517175,0
03/02/2012,15:00,6.88,6.90,6.74,6.81,2749855,0
03/05/2012,15:00,6.87,6.88,6.69,6.75,2334690,0
03/06/2012,15:00,6.65,6.66,6.52,6.62,2868745,0
03/07/2012,15:00,6.62,6.66,6.58,6.62,1824155,0
03/08/2012,15:00,6.62,6.70,6.61,6.61,3166335,0
03/09/2012,15:00,6.64,7.06,6.64,6.95,7767115,0
03/12/2012,15:00,6.94,7.26,6.92,7.20,9822600,0
03/13/2012,15:00,7.30,7.32,7.10,7.22,5008215,0
03/14/2012,15:00,7.20,7.20,6.96,7.06,4257320,0
03/15/2012,15:00,7.06,7.10,6.96,7.00,2857980,0
03/16/2012,15:00,6.98,7.18,6.97,7.06,3646180,0
03/19/2012,15:00,7.05,7.06,6.91,7.00,5077930,0
03/20/2012,15:00,7.00,7.04,6.91,6.99,2835005,0
03/21/2012,15:00,6.99,7.06,6.92,7.03,3035515,0
03/22/2012,15:00,6.99,7.03,6.86,6.88,2611765,0
03/23/2012,15:00,6.85,6.93,6.63,6.82,5852835,0
03/26/2012,15:00,7.12,7.62,7.01,7.48,15704455,0
03/27/2012,15:00,7.43,7.99,7.41,7.59,12700265,0
03/28/2012,15:00,7.56,7.69,7.42,7.57,4774850,0
03/29/2012,15:00,7.64,7.64,7.41,7.47,3981675,0
03/30/2012,15:00,7.50,7.59,7.34,7.45,4431560,0
04/02/2012,15:00,7.47,7.59,7.31,7.32,5142520,0
04/03/2012,15:00,7.34,7.69,7.33,7.60,5520750,0
04/04/2012,15:00,7.05,7.10,6.94,7.00,22414080,0
04/05/2012,15:00,7.02,7.09,6.88,6.90,7547390,0
04/09/2012,15:00,6.82,6.86,6.62,6.63,8279025,0
04/10/2012,15:00,6.63,6.77,6.42,6.49,9238345,0
04/11/2012,15:00,6.65,6.66,6.40,6.62,5527235,0
04/12/2012,15:00,6.75,6.90,6.58,6.69,5170770,0
04/13/2012,15:00,6.79,6.81,6.57,6.72,3247900,0
04/16/2012,15:00,6.68,6.74,6.42,6.45,5498755,0
04/17/2012,15:00,6.49,6.61,6.41,6.45,5577690,0
